species,question,Q1,Median,Q3
BALANTIOPTERYX_IO,popSize,62090.584450975155,226466.17308973413,584522.9621863513
BALANTIOPTERYX_IO,popTrend,-0.2581723969098105,-0.13914548186736014,-0.02011856682490981
BAUERUS_DUBIAQUERCUS,popSize,13491.226451481805,30393.586015527504,58174.0375977174
BAUERUS_DUBIAQUERCUS,popTrend,-0.16304283601990818,-0.10321693732752678,-0.04339103863514538
MYOTIS_OCCULTUS,popSize,38333.742489243654,82448.17890972973,153010.72274007573
MYOTIS_OCCULTUS,popTrend,-0.10547466608374623,-0.06077574440985013,-0.016076822735954045
LOPHOSTOMA_BRASILIENSE,popSize,2978.350340303509,4730.336377002332,7072.4239605498415
LOPHOSTOMA_BRASILIENSE,popTrend,-0.1284876735988954,-0.07848699185366416,-0.028486310108432923
CAROLLIA_SUBRUFA,popSize,24857.98824661297,45311.95313776002,74992.3081547705
CAROLLIA_SUBRUFA,popTrend,-0.143128150591936,-0.06631137664299602,0.010505397305943964
DERMANURA_AZTECA,popSize,63841.34320894296,324923.1208889121,1016170.7283627681
DERMANURA_AZTECA,popTrend,-0.0744149130510762,-0.035266671539849144,0.003881569971377917
DIAEMUS_YOUNGI,popSize,3284.344110926365,6883.574484182031,12553.939476364609
DIAEMUS_YOUNGI,popTrend,-0.05872746333372082,-0.01685869463139449,0.025010074070931847
CYNOMOPS_MEXICANUS,popSize,45091.98375350047,113208.53070578107,232489.89382062797
CYNOMOPS_MEXICANUS,popTrend,-0.05677132846370038,-0.031474978025196526,-0.006178627586692669
DICLIDURUS_ALBUS,popSize,25382.61361879745,57871.04917531858,111643.87094914442
DICLIDURUS_ALBUS,popTrend,-0.06814737550110758,-0.022841271489345387,0.0224648325224168
MIMON_COZUMELAE,popSize,25862.369331102418,70360.9966175795,152029.30580997188
MIMON_COZUMELAE,popTrend,-0.09201480938921813,-0.04635125685911763,-6.877043290171372e-4
ENCHISTHENES_HARTII,popSize,14120.935470995058,33249.12755534662,65511.62193995604
ENCHISTHENES_HARTII,popTrend,-0.1576959616546102,-0.0895821411829186,-0.021468320711227007
EPTESICUS_BRASILIENSIS,popSize,41942.10004364237,83088.59806004369,145800.39900427402
EPTESICUS_BRASILIENSIS,popTrend,-0.0962326189910403,-0.04852960449187285,-8.265899927054135e-4
THYROPTERA_TRICOLOR,popSize,8829.977830432379,22561.471881898575,46855.347364811365
THYROPTERA_TRICOLOR,popTrend,-0.15687683862045293,-0.08218833716351825,-0.00749983570658358
LASIURUS_INTERMEDIUS,popSize,201319.4843638585,328738.097267011,501926.5292777794
LASIURUS_INTERMEDIUS,popTrend,-0.11751075788075677,-0.06697833517472375,-0.016445912468690732
GLOSSOPHAGA_MORENOI,popSize,154235.72009369728,324013.77131399815,591855.140884683
GLOSSOPHAGA_MORENOI,popTrend,-0.06957537203966074,-0.02181171124286433,0.025951949553932076
HYLONYCTERIS_UNDERWOODI,popSize,66750.48243501353,149147.3935562276,283923.2513714802
HYLONYCTERIS_UNDERWOODI,popTrend,-0.09496839775221247,-0.04366512995415704,0.007638137843898385
GLOSSOPHAGA_LEACHII,popSize,395736.168763337,607772.3818542473,885563.7092787828
GLOSSOPHAGA_LEACHII,popTrend,-0.042479463285994515,0.008401504258534852,0.059282471803064216
EUMOPS_NANUS,popSize,13249.259995154496,34971.56263036432,74139.84902937684
EUMOPS_NANUS,popTrend,-0.13353245317942877,-0.07524406389418482,-0.016955674608940867
GLYPHONYCTERIS_SYLVESTRIS,popSize,14593.755294641154,62412.90292527603,176746.67152438944
GLYPHONYCTERIS_SYLVESTRIS,popTrend,-0.10172540268914453,-0.04891230925713972,0.003900784174865085
LASIURUS_EGA,popSize,163252.99318277126,481027.4839853599,1092064.4681626798
LASIURUS_EGA,popTrend,-0.04613774243583996,-0.01104806969963043,0.024041603036579096
EUMOPS_UNDERWOODI,popSize,46065.99126686966,197992.00175673518,562300.8452338519
EUMOPS_UNDERWOODI,popTrend,-0.14052296246831802,-0.06508385186263838,0.010355258743041287
MACROPHYLLUM_MACROPHYLLUM,popSize,1160.3526628575687,2776.836380081989,5529.266454061727
MACROPHYLLUM_MACROPHYLLUM,popTrend,-0.14143136253644653,-0.08666168950240212,-0.0318920164683577
MOLOSSUS_COIBENSIS,popSize,351.6238728012243,1076.1853468044824,2500.691289499933
MOLOSSUS_COIBENSIS,popTrend,-0.09406428011744311,-0.05307394949081853,-0.01208361886419395
MYOTIS_ALBESCENS,popSize,11503.376298222724,28153.486468717303,56878.664352777414
MYOTIS_ALBESCENS,popTrend,-0.07150806113496948,-0.0404254936615361,-0.009342926188102719
MYOTIS_ELEGANS,popSize,101213.16293345494,202170.60822121808,356791.09307867946
MYOTIS_ELEGANS,popTrend,-0.05790863390547839,-0.030326270320842355,-0.0027439067362063224
MYOTIS_FINDLEYI,popSize,1293.5647003899703,4200.322100296699,10116.045840487295
MYOTIS_FINDLEYI,popTrend,-0.08589930727836331,-0.03834473983072798,0.009209827616907341
LOPHOSTOMA_EVOTIS,popSize,2743.5943331872213,4861.135998381428,7882.627139589938
LOPHOSTOMA_EVOTIS,popTrend,-0.18150989617480665,-0.12266687876649664,-0.06382386135818663
LEPTONYCTERIS_NIVALIS,popSize,18894.383480895798,122552.85759096748,438966.4607003979
LEPTONYCTERIS_NIVALIS,popTrend,-0.3303244040474406,-0.21351388669825733,-0.09670336934907404
MYOTIS_VELIFER,popSize,511729.68194135616,1131073.5365478708,2137710.065587863
MYOTIS_VELIFER,popTrend,-0.05359471365507986,-0.008609193431492303,0.03637632679209526
LEPTONYCTERIS_YERBAGUENSIS,popSize,339298.5124877387,525306.628094643,770182.041685713
LEPTONYCTERIS_YERBAGUENSIS,popTrend,-0.005588043371583408,-3.8216265349456084e-4,0.004823718064594287
EUDERMA_MACULATUM,popSize,1034.3847723313543,3322.7511438735405,7950.7178165893765
EUDERMA_MACULATUM,popTrend,-0.14900581394161677,-0.07799838327005629,-0.006990952598495817
CORYNORHINUS_MEXICANUS,popSize,66144.11477983944,132897.2684326874,235485.31879130346
CORYNORHINUS_MEXICANUS,popTrend,-0.1036237070968887,-0.046724306261259986,0.010175094574368736
MYOTIS_VOLANS,popSize,101593.84512381958,205262.81492603858,365106.57950114564
MYOTIS_VOLANS,popTrend,-0.05253197853550784,-0.016790467243262417,0.01895104404898301
PERIMYOTIS_SUBFLAVUS,popSize,23686.808823612613,48391.92712531627,86733.43687042066
PERIMYOTIS_SUBFLAVUS,popTrend,-0.07714787188133879,-0.03447874855385292,0.00819037477363295
SACCOPTERYX_LEPTURA,popSize,762.194990730554,1366.2281786911624,2234.062537602248
SACCOPTERYX_LEPTURA,popTrend,-0.047877058176802205,-0.01280289118663798,0.022271275803526246
