species,question,Q1,Median,Q3
LASIURUS_CINEREUS,ag_sub2,4.279337138427977e-5,0.001804442474662658,0.017786167392339958
LASIURUS_CINEREUS,ag_sub3,2.9721360817838744e-5,0.0011888376255318489,0.011416612171578633
LASIURUS_CINEREUS,ag_sub4,2.0347115733019993e-5,2.489649352395983e-5,3.007995544209979e-5
LASIURUS_CINEREUS,bi_sub1,2.0451980726940208e-5,2.503991476372041e-5,3.0269291499128778e-5
LASIURUS_CINEREUS,bi_sub2,8.00337598466317e-6,9.346958738691291e-4,0.016169615122587522
LASIURUS_CINEREUS,bi_sub3,1.6075429886762605e-4,0.0070933088417524095,0.06998242904161589
LASIURUS_CINEREUS,bi_sub4,2.0441755477702853e-5,2.500750931873088e-5,3.0209003789322122e-5
LASIURUS_CINEREUS,cli_sub1,2.3553341913156142e-4,0.006654599698493467,0.051974561976048994
LASIURUS_CINEREUS,cli_sub2,4.2385456079104575e-4,0.008843191918221551,0.058475629873950385
LASIURUS_CINEREUS,cli_sub3,2.522660594057348e-4,0.0087494910442704,0.07554812112926268
LASIURUS_CINEREUS,cli_sub4,6.590782524509816e-6,4.900677673144717e-4,0.006629707421941662
LASIURUS_CINEREUS,cli_sub5,6.426772331169982e-6,2.140113944874557e-4,0.001867020634299033
LASIURUS_CINEREUS,dev_sub1,5.90497168789968e-5,0.0022469873226041936,0.020912619968547874
LASIURUS_CINEREUS,dev_sub2,5.358744754987734e-6,1.4217443643360587e-4,0.0010963330550714729
LASIURUS_CINEREUS,dev_sub3,9.227676219388561e-6,7.571789818167908e-5,3.087012544665313e-4
LASIURUS_CINEREUS,en_sub1,2.0482088306057123e-5,2.4995655407056135e-5,3.0129791723989817e-5
LASIURUS_CINEREUS,en_sub2,7.2749502543619854e-6,4.0897732336195043e-4,0.004746524262486373
LASIURUS_CINEREUS,en_sub3,0.0029698955125058205,0.024108121146266596,0.09466968857850055
LASIURUS_CINEREUS,geo_sub1,2.045471757788677e-5,2.502064912002076e-5,3.0221990708207733e-5
LASIURUS_CINEREUS,geo_sub2,2.035794126297198e-5,2.4910682897907375e-5,3.0098101056132547e-5
LASIURUS_CINEREUS,geo_sub3,4.830038984702792e-6,1.3045404156856308e-4,0.0010157942339718332
LASIURUS_CINEREUS,hu_sub1,7.583079438579002e-6,1.452529416957033e-4,9.385816480219841e-4
LASIURUS_CINEREUS,hu_sub2,2.028975165442129e-5,2.4871175012774668e-5,3.009707971298336e-5
LASIURUS_CINEREUS,hu_sub3,5.104321720960161e-6,1.0678606849575513e-4,7.23881931354455e-4
LASIURUS_CINEREUS,in_sub1,9.000387278036634e-6,1.0211474143865765e-4,4.967674149696861e-4
LASIURUS_CINEREUS,in_sub2,2.036383473025108e-5,2.4940918064766856e-5,3.015910115342575e-5
LASIURUS_CINEREUS,in_sub3,2.0460958979826383e-5,2.503342041692486e-5,3.0242872991910074e-5
LASIURUS_CINEREUS,in_sub4,2.032796112953414e-5,2.4927210398596315e-5,3.0174665956291312e-5
LASIURUS_CINEREUS,in_sub5,2.0344667706324337e-5,2.4906759502354273e-5,3.0106448821771252e-5
LASIURUS_CINEREUS,in_sub6,1.2137030309715938e-5,1.2840417312214245e-4,6.013397191825346e-4
LASIURUS_CINEREUS,na_sub1,1.4641723723660336e-4,0.005935386830933765,0.056279342493407825
LASIURUS_CINEREUS,na_sub2,9.556415540525335e-6,1.2039077394343045e-4,6.199129978249052e-4
LASIURUS_CINEREUS,na_sub3,1.6409672899577277e-5,0.0013031189991358715,0.018185209128476654
LASIURUS_CINEREUS,po_sub1,1.1353368145000222e-5,6.92709263561167e-4,0.0083962962498626
LASIURUS_CINEREUS,po_sub2,9.503224585903614e-6,1.4662818154246367e-4,8.426847196094097e-4
LASIURUS_CINEREUS,po_sub3,5.7865443303098205e-5,0.0032879913365658204,0.03781575839399687
LASIURUS_CINEREUS,po_sub4,5.168704882851744e-6,1.0427523138299896e-4,6.930770319532988e-4
LASIURUS_CINEREUS,po_sub5,5.68761656273709e-6,1.1336477453966985e-4,7.485502959037624e-4
LASIURUS_CINEREUS,po_sub6,1.0454804129755962e-5,8.917202384629099e-4,0.012976722105088268
LASIURUS_CINEREUS,tr_sub1,6.926734746787261e-6,9.581375148241453e-5,5.190451217764198e-4
LASIURUS_CINEREUS,tr_sub2,2.0432633333801453e-5,2.5018859735167342e-5,3.024663602918347e-5
LASIURUS_CINEREUS,tr_sub3,2.0370088338806867e-5,2.4935446724104297e-5,3.013853978917897e-5
