species,country,pop_size_bin,pop_trend_bin,overall_impact_val,range,g_rank
CHIRODERMA_VILLOSUM,Mexico,"100,000 - 1,000,000 individuals",Relatively Stable (<=10% change),High,"200,000-2,500,000",G4
RHOGEESSA_GRACILIS,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),Medium,"200,000-2,500,000",G4
NYCTINOMOPS_AURISPINOSUS,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),Medium,"200,000-2,500,000",G4
MYOTIS_PENINSULARIS,Mexico,"2,500-10,000 individuals",Relatively Stable (<=10% change),Medium,"20,000-200,000",G3
NYCTINOMOPS_FEMOROSACCUS,Mexico,"100,000 - 1,000,000 individuals",Relatively Stable (<=10% change),Medium,"200,000-2,500,000",G4
NYCTICEIUS_HUMERALIS,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),Medium,"20,000-200,000",G4
MYOTIS_MELANORHINUS,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),High,"200,000-2,500,000",G3
LASIONYCTERIS_NOCTIVAGANS,Mexico,"1,000-2,500 individuals",Relatively Stable (<=10% change),Medium,"20,000-200,000",G3
MYOTIS_AURICULUS,Mexico,"100,000 - 1,000,000 individuals",Relatively Stable (<=10% change),High,"200,000-2,500,000",G4
MICRONYCTERIS_SCHMIDTORUM,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),High,"20,000-200,000",G3
URODERMA_DAVISI,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),High,"20,000-200,000",G3
PLATYRRHINUS_HELLERI,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),High,"200,000-2,500,000",G3
TONATIA_BAKERI,Mexico,"1,000-2,500 individuals",Relatively Stable (<=10% change),Medium,"5,000-20,000",G3
EUMOPS_PEROTIS,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),Medium,"200,000-2,500,000",G4
CHIRODERMA_SALVINI,Mexico,"100,000 - 1,000,000 individuals",Decline of 10-30%,High,"200,000-2,500,000",G4
PTERONOTUS_GYMNONOTUS,Mexico,"2,500-10,000 individuals",Relatively Stable (<=10% change),Medium,"20,000-200,000",G3
PHYLLODERMA_STENOPS,Mexico,"1,000-2,500 individuals",Relatively Stable (<=10% change),High,"20,000-200,000",G3
RHOGEESSA_ALLENI,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),High,"200,000-2,500,000",G3
RHOGEESSA_BICKHAMI,Mexico,"2,500-10,000 individuals",Relatively Stable (<=10% change),Medium,"5,000-20,000",G3
RHOGEESSA_GENOWAYSI,Mexico,"2,500-10,000 individuals",Relatively Stable (<=10% change),Medium,"5,000-20,000",G3
RHOGEESSA_MIRA,Mexico,"2,500-10,000 individuals",Relatively Stable (<=10% change),High,"5,000-20,000",G3
TRINYCTERIS_NICEFORI,Mexico,50-250 individuals,Relatively Stable (<=10% change),Medium,"5,000-20,000",G2
URODERMA_CONVEXUM,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),Medium,"20,000-200,000",G4
EUMOPS_FEROX,Mexico,"10,000 - 100,000 individuals",Relatively Stable (<=10% change),Medium,"200,000-2,500,000",G4
