species,country,spp_abbrev,common_name,area,x
Desmodus rotundus,Mexico,DEROT,Common Vampire Bat,1140210003515.44,"list(c(-97.7052051918967, -99.741278, -107.914236257814, -109.003135966042, -109.010091002705, -107.521143619147, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.618363928496, -105.321281, -105.020621165461, -104.515406, -102.066268778693, -101.9185280017, -101.813833663864, -101.622655997599, -99.8852426994908, -99.0445988251492, -98.9476757474565, -98.8300917985458, -97.3628288580004, -96.2073605773558, 
-96.0533821276533, -95.250227016973, -94.6916564603301, -93.8751688301185, -93.3594638740618, -92.5532633535133, -92.3746521670406, -92.153444, -92.0872293189451, -92.2292486234063, -91.747960171256, -91.1090475588043, -90.6394122598073, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.3772039370648, -88.4979038570205, -88.1831744050527, -87.5920532084484, -88.1506785114172, -88.8221258145055, -89.6013211738515, -90.2786183336849, 
-90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7052051918967, 24.2313382173643, 24.786579, 27.2127528102839, 27.0589195189876, 27.0377542952332, 24.244507054987, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 
21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.4672598595931, 19.85737, 19.436517854058, 19.1331, 17.932000662494, 17.916090196194, 17.8054668605329, 17.709303029381, 16.8780679886288, 16.5843209168803, 16.5660434025688, 16.5086776993673, 15.9838454779117, 15.722108479107, 15.7520879175396, 16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 14.8501757474042, 14.8058614994295, 14.996106, 15.0646022715454, 15.2514466414959, 16.0665648462518, 16.0690127560496, 
16.5461481595708, 16.6874830184548, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8115165651807, 18.677903264955, 19.1339934763751, 20.8555825275578, 21.1972330289916, 21.4333537187053, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 
21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 24.2313382173643))"
Lasiurus blossevillii,Mexico,LABLO,Western Red Bat,790622962056.636,"list(list(c(-112.722460308249, -112.983333, -112.983333, -111.445739114627, -111.616489020619, -112.244951951937, -112.457910529412, -112.722460308249, 27.7475421447285, 27.633333, 27.6, 26.1860783717924, 26.6628172877005, 27.1717267929108, 27.5258137069748, 27.7475421447285)), list(c(-105.696145875528, -104.446797, -96.931667, -99.148315, -109.732129332082, -111.529806094843, -111.178918830188, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, -109.444089321717, -109.260198737407, 
-108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.696145875528, 20.4444518840745, 19.105497, 18.891111, 24.778694, 29.0048982492882, 28.260426218232, 27.9412405461691, 27.8598760035255, 27.1621149765045, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 
21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.4444518840745)))"
Mormoops megalophylla,Mexico,MOMEG,Peters's Ghost-faced Bat,1511362217649.32,"list(list(c(-111.958993321213, -111.979444, -111.329342081548, -111.616489020619, -111.958993321213, 26.9410806165716, 26.89, 25.858722149376, 26.6628172877005, 26.9410806165716)), list(c(-110.358070020582, -110.05815684329, -109.423110403686, -109.409104377056, -109.771847093529, -110.172856208113, -110.358070020582, 24.2784231855611, 23.7809816130338, 23.2614594839895, 23.3646723495362, 23.8111825627542, 24.2655475936804, 24.2784231855611)), list(c(-97.5299999999999, -98.24, -99.0199999999999, 
-99.3, -99.5199999999999, -100.11, -100.337182724185, -102.509169662955, -103.11, -103.94, -104.45697, -104.647426868406, -104.690155, -110.735039, -110.918738475737, -111.452528499704, -111.178918830188, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, -109.444089321717, -109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, 
-105.731396043708, -105.493038499761, -105.366351075121, -105.073059, -104.516058324589, -102.06638733996, -101.9185280017, -101.813797472559, -101.622655997599, -99.919280540999, -99.8852426994908, -97.0822666004807, -91.8085321722196, -91.236785542463, -91.4539212715151, -91.040482500597, -91.002218677983, -91.001519945016, -90.473654552739, -89.6734868027515, -88.5206532201399, -89.3753205597279, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, 
-92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7029455228422, -97.5280724759666, -97.1400083076707, -97.5299999999999, 25.8400000000001, 26.0600000000001, 26.3700000000001, 26.84, 27.54, 28.1100000000001, 28.4958522076311, 29.7237580777111, 28.97, 29.27, 29.57196, 29.9934288743535, 29.998189, 29.61646, 
29.474210600095, 28.1903701296128, 27.9412405461691, 27.8598760035255, 27.1621149765045, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.4341018742641, 19.9467672795354, 19.7879083449447, 19.526671, 19.1331140048748, 17.9320133846202, 17.916090196194, 17.8054285862246, 17.709303029381, 16.8924041821647, 
16.8780679886288, 16.0932848347964, 16.4813355306541, 17.0577559081082, 17.2521772323242, 17.2544868896901, 17.292763361137, 17.8175949162457, 17.8191182307519, 18.6073489894715, 20.6835483609437, 21.3119165931576, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 
21.8986894800643, 22.4442117375534, 22.9325798609277, 24.2723430445267, 24.9921440699203, 25.8699974634784, 25.8400000000001)))"
Choeronycteris mexicana,Mexico,CHMEX,Mexican Long-tongued Bat,1147372170608.34,"list(list(c(-114.687034869432, -115.433333, -115.44, -115.15, -111.817652003302, -111.121365546019, -111.284674648873, -111.616489020619, -112.244951951937, -112.457910529412, -112.761587083775, -112.962298346797, -113.140039435664, -113.271969367306, -113.424053107541, -113.588875088335, -114.330974494263, -114.673899298952, -114.687034869432, 30.2647063346821, 30.05, 30.04, 29.7, 26.056945946031, 25.4921111605246, 25.7325898300144, 26.6628172877005, 27.1717267929108, 27.5258137069748, 27.7802167831475, 
28.4251903345825, 28.411289374296, 28.7547826197399, 28.8261736109512, 29.061611436473, 29.7504324407074, 30.162681179316, 30.2647063346821)), list(c(-105.403760383821, -103.64535, -97.1333792185675, -96.5908666318342, -96.4080872216017, -99.148315, -100.898533728047, -101.708278238122, -109.468226, -111.2, -113.122453969889, -112.809594489374, -112.271823696729, -112.22823462609, -111.759606899852, -111.178918830188, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, -109.444089321717, 
-109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.403760383821, 20.5299734774738, 18.891667, 16.2327217888327, 16.2882765545694, 16.9229678732732, 24.778694, 26.4356818249953, 27.0294561905531, 30.603236, 31.2, 30.6981418336668, 30.0211135930523, 29.2668443873201, 28.9544086776835, 28.4679525823039, 27.9412405461691, 27.8598760035255, 
27.1621149765045, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.5299734774738)))"
Macrotus waterhousii,Mexico,MAWAT,Waterhouse's Leaf-nosed Bat,1036320493522.72,"list(list(c(-97.7267584132388, -111.016667, -112.356944, -112.367719304732, -112.271823696729, -112.22823462609, -111.759606899852, -111.178918830188, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, -109.444089321717, -109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.695829425274, -103.964334, -101.448484854026, 
-98.977015, -95.2172233231772, -91.982223, -93.1745460347404, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.7267584132388, 21.9862152256173, 30.583333, 30.956667, 29.4023332611232, 29.2668443873201, 28.9544086776835, 28.4679525823039, 27.9412405461691, 27.8598760035255, 27.1621149765045, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 
24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.444544760448, 19.026593, 17.68347183737, 16.60733, 16.305779432562, 17.509167, 18.4737849410854, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 21.9862152256173)), list(c(-112.381136268984, -112.382329, -111.302198904834, 
-111.616489020619, -112.244951951937, -112.381136268984, 27.398459080269, 27.216658, 25.7821086102209, 26.6628172877005, 27.1717267929108, 27.398459080269)), list(c(-110.195653823989, -109.677482, -109.41206182204, -109.409104377056, -109.771847093529, -110.172856208113, -110.195653823989, 24.2671446750474, 23.542129, 23.3428918710899, 23.3646723495362, 23.8111825627542, 24.2655475936804, 24.2671446750474)))"
Carollia subrufa,Mexico,CASUB,Gray Short-tailed Bat,420986512092.524,"list(c(-96.3397300153523, -96.988108747071, -103.594974, -103.76021156073, -104.148467, -103.930306, -103.719208432845, -102.040637929756, -101.9185280017, -101.833633928164, -101.470430232414, -99.8852426994908, -97.0667109848743, -96.0437418758364, -95.250227016973, -94.6916564603301, -93.8751688301185, -93.3594638740618, -92.5584214108268, -92.3746521670406, -92.293892, -92.0958073808034, -92.087215949252, -92.2292486234063, -91.747960171256, -90.9968162194848, -90.5720651155931, -90.6008467272409, 
-90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.1430804105033, -89.1509093899955, -89.0298573473518, -88.9371917749728, -88.6758623816352, -88.4901228502793, -88.3101583073319, -88.305275, -89.7312683272711, -90.6958478478124, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.3397300153523, 19.437067346727, 
19.4220137379993, 19.331539, 19.3208877668925, 19.07935, 18.872472, 18.7506349762885, 17.9292486338218, 17.916090196194, 17.8264032746792, 17.6451396282409, 16.8780679886288, 16.0094000379169, 15.756629734397, 16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 14.8550985048849, 14.8058614994295, 14.861389, 15.0472396272647, 15.0645846623285, 15.2514466414959, 16.0665648462518, 16.0692470826571, 16.4600098484312, 16.4707778996388, 16.6874830184548, 16.9184766707995, 17.2521772323242, 
17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8083189966494, 17.9554676376004, 18.0015113387726, 17.9411513589055, 18.1744482765864, 18.4868305526417, 18.499286380733, 18.503611, 19.4589748961689, 19.4707108141971, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.437067346727))"
Rhogeessa parvula,Mexico,RHPAR,Little Yellow Bat,1070412704752.45,"list(c(-97.7402212245581, -97.8831454859635, -109.732129332082, -111.451703341318, -111.114699810254, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, -109.444089321717, -109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.696709412249, -105.020621165461, -104.966451711434, -104.874127297034, -102.063326763257, 
-101.9185280017, -101.814742433754, -101.622655997599, -97.3628288580004, -96.0791494009298, -96.0533821276533, -95.250227016973, -94.6916564603301, -93.8751688301185, -93.3594638740618, -92.8273817289969, -92.3807638709778, -92.316667, -94.0174976282902, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7402212245581, 23.5925515665153, 23.7873724941085, 29.0048982492882, 
28.3614375129845, 27.9316427608592, 27.8598760035255, 27.1621149765045, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.4442864875158, 19.436517854058, 19.3851184751179, 19.3133171990689, 17.9316849481701, 17.916090196194, 17.8064279274168, 17.709303029381, 15.9838454779117, 15.7470792003433, 15.7520879175396, 
16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 15.1113172078026, 15.0200177192811, 15.7, 18.2750566049255, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 23.5925515665153))"
Pteronotus personatus,Mexico,PTPER,Wagner's Mustached Bat,880523852795.979,"list(c(-97.760436105365, -99.4462675302322, -108.749107, -109, -109.322227, -108.85145097424, -108.258021742827, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.604347501168, -105.073059, -104.978770051519, -104.966451711434, -104.874127297034, -104.516058324589, -101.994064276353, -101.9185280017, -101.86759193004, -99.919280540999, -99.8852426994908, -95.5220888981382, 
-95.250227016973, -94.6916564603301, -93.8751688301185, -93.3594638740618, -93.2423801190141, -92.7366072476877, -92.706178, -90.9410176136217, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.6965552559156, -89.4412577838574, -91.2719587099819, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, 
-97.6990439522042, -97.760436105365, 22.0924221946025, 22.8440673983196, 27.016547, 27.05, 27.076069, 25.9512974489338, 24.9887452666688, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.4713654947583, 19.526671, 19.3991897663824, 19.3851184751179, 19.3133171990689, 19.1331140048748, 17.9242391256127, 17.916090196194, 17.8622937079586, 16.8924041821647, 16.8780679886288, 16.0014583614891, 
16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 15.5048187044444, 15.3911092532931, 15.403573, 16.8307744630441, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 17.8154287660147, 18.0151547039589, 18.963648262245, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.0924221946025
))"
Lasiurus ega,Mexico,LAEGA,Southern Yellow Bat,1322512370488.05,"list(list(c(-110.125838805047, -109.96861, -109.76454495399, -109.479729034071, -109.433392300233, -109.409104377056, -109.771847093529, -110.125838805047, 24.2124948582544, 23.59361, 23.3654428228139, 23.1452954812211, 23.1855876734287, 23.3646723495362, 23.8111825627542, 24.2124948582544)), list(c(-97.5299999999999, -98.24, -99.0199999999999, -99.3, -99.3141527529587, -101.816694400603, -111.121449194743, -111.10582443067, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, 
-109.444089321717, -109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.731396043708, -105.493038499761, -105.46643585183, -105.184355908768, -104.446797, -101.930988609328, -101.9185280017, -101.910401409932, -99.796669, -95.329039683274, -95.250227016973, -94.6916564603301, -93.8751688301185, -93.5904050237576, -93.209167, -92.316667, -91.2927963596531, 
-91.4539212715151, -91.1856919458302, -91.0019389333289, -91.001519945016, -90.7688814590207, -88.58828, -89.5444445593565, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.7029455228422, 
-97.5280724759666, -97.1921015500547, -97.3755376122358, -97.5299999999999, 25.8400000000001, 26.0600000000001, 26.3700000000001, 26.84, 26.8853060850103, 28.1509444993677, 27.9876130061313, 27.9303138230583, 27.8598760035255, 27.1621149765045, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.4341018742641, 
19.9467672795354, 19.9134428922825, 19.6773709238825, 19.105497, 17.9174365186916, 17.916090196194, 17.9075103138182, 16.871111, 16.0915935401542, 16.1283181828406, 16.2009752466429, 15.9401642928659, 15.7611298228625, 15.686667, 15.7, 17.1079686188479, 17.2521772323242, 17.2537719673722, 17.5032497457671, 17.8175949162457, 17.8184408746243, 20.698465, 21.2743887054715, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 
18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 24.2723430445267, 24.9921440699203, 25.7529589599571, 25.852007384565, 25.8400000000001)))"
Molossus rufus,Mexico,MORUF,Black Mastiff Bat,971227621301.12,"list(c(-97.735592117645, -98.9746465072257, -107.696949203673, -107.137693780219, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.486364387453, -104.966451711434, -104.874127297034, -104.716667, -102.038658852527, -101.9185280017, -101.836665120019, -100.559296469292, -99.8852426994908, -99.0431540640808, -98.9476757474565, -98.8322834008304, -96.490438669398, -96.0533821276533, -95.250227016973, 
-94.6916564603301, -93.8751688301185, -93.3594638740618, -92.5461129006269, -92.3746521670406, -92.115103430134, -92.2292486234063, -91.747960171256, -91.2583016693331, -90.7090432773136, -90.7118218655876, -91.0816700915006, -91.4539212715151, -91.0022692532842, -91.001519945016, -90.0679335192309, -89.6814834215868, -88.0451171427529, -87.6023314887377, -88.1506785114172, -88.9033613147274, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, 
-92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.7760418363191, -97.735592117645, 23.6773611937509, 23.9499381470751, 25.0684082837997, 23.9460962688963, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5317186548634, 20.5058713887323, 19.3851184751179, 
19.3133171990689, 19.216667, 17.9290359936409, 17.916090196194, 17.8296077879377, 17.193498481967, 16.8780679886288, 16.584048822066, 16.5660434025688, 16.5097478306098, 15.6666888300422, 15.7520879175396, 16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 14.8433509220304, 14.8058614994295, 15.1013072091052, 15.2514466414959, 16.0665648462518, 16.068610541017, 16.6820638535798, 16.6874830184548, 16.9184766707995, 17.2521772323242, 17.2546577010743, 17.8175949162457, 17.8193260767275, 
17.815255789344, 19.5792510047251, 20.8694708802565, 21.1972330289916, 21.4156471162078, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.9325798609277, 23.6773611937509))"
Parastrellus hesperus,Mexico,PAHES,Canyon Bat,1028547150636.1,"list(c(-105.409066794748, -104.063240566043, -100.97615732234, -99.2512457466647, -101.75, -102.591260693117, -103.11, -103.94, -104.45697, -104.70575, -105.03737, -105.63159, -106.1429, -106.493530603025, -106.51207, -106.555762243842, -108.24, -108.24194, -109.035, -111.02361, -113.30498, -114.13054594998, -115.801401051774, -117.047207206222, -117.037203139485, -110.331570954633, -110.295070970484, -110.269810867342, -110.100374356769, -109.926667, -109.814108911501, -109.433392300233, -109.409104377056, 
-109.771847093529, -110.172856208113, -110.655048997829, -110.710006883571, -110.987819383572, -111.284674648873, -111.616489020619, -112.244951951937, -112.457910529412, -112.761587083775, -112.962298346797, -113.140039435664, -113.271969367306, -113.424053107541, -113.588875088335, -114.330974494263, -114.673899298952, -114.771231859174, -114.936699795372, -114.776451178835, -114.205736660604, -113.871881069782, -113.148669399857, -113.163810594519, -112.809594489374, -112.271823696729, -112.22823462609, 
-111.759606899852, -111.178918830188, -110.641018846462, -110.391731737086, -109.801457689232, -109.291643846456, -109.444089321717, -109.260198737407, -108.401904873471, -107.915448778091, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.409066794748, 20.5630772007042, 19.8259429869878, 22.1514883367783, 23.587038418843, 28.6667, 29.6215889133019, 28.97, 29.27, 29.57196, 30.12173, 30.64402, 31.0838300000001, 
31.3999500000001, 31.7409198904377, 31.750326, 31.7548461468017, 31.7548537181664, 31.3422200000001, 31.3419400000001, 31.33472, 32.0391400000001, 32.3077969397301, 32.3683652521084, 32.3584674309022, 32.3364490947171, 23.4629671762017, 23.4309732121667, 23.3729955564577, 23.1254097687524, 22.909444, 22.8534157450012, 23.1855876734287, 23.3646723495362, 23.8111825627542, 24.2655475936804, 24.2985946721311, 24.8260043401019, 25.2946062281246, 25.7325898300144, 26.6628172877005, 27.1717267929108, 27.5258137069748, 
27.7802167831475, 28.4251903345825, 28.411289374296, 28.7547826197399, 28.8261736109512, 29.061611436473, 29.7504324407074, 30.162681179316, 30.9136172551653, 31.3934846054276, 31.7995321721611, 31.5240451116131, 31.5676083440352, 31.1709658879789, 30.7868808049694, 30.0211135930523, 29.2668443873201, 28.9544086776835, 28.4679525823039, 27.9412405461691, 27.8598760035255, 27.1621149765045, 26.6761756454479, 26.4429340682984, 25.8248839380877, 25.5806094426441, 25.1723139511059, 24.548915310153, 23.7677743596289, 
22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 21.0762848983551, 20.8168950464661, 20.5630772007042))"
Noctilio leporinus,Mexico,NOLEP,Greater Bulldog Bat,842472760700.544,"list(list(c(-97.776431096547, -107.764223324298, -106.968100508496, -106.909980434988, -106.028716396899, -105.693413865973, -105.603160976975, -105.265817226974, -105.270752326258, -105.500660773524, -105.397772996831, -105.504246746099, -105.105243647161, -104.966451711434, -104.874127181922, -102.047812211158, -101.9185280017, -101.830831031291, -100.251788776063, -96.5053077911694, -96.4974996385756, -96.0533821276533, -95.250227016973, -94.6916564603301, -93.8751688301185, -93.3594638740618, 
-92.6860121327964, -92.283333, -92.1860431810999, -92.2292486234063, -92.0874371730861, -90.8119934206557, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, -96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.776431096547, 22.930613438935, 25.5425387575489, 23.8133665456104, 23.7677743596289, 22.7737523462786, 22.2690803085162, 21.8711459416526, 21.4221035832524, 
21.0762848983551, 20.8168950464661, 20.5317186548634, 20.5006475511211, 19.5689243090528, 19.3851184751179, 19.2842155759751, 17.9300192959347, 17.916090196194, 17.8234399659813, 17.0368400905012, 15.666640636373, 15.6653014289061, 15.7520879175396, 16.1283181828406, 16.2009752466429, 15.9401642928659, 15.6154295923437, 14.9767605577296, 14.9, 15.1946487826853, 15.2514466414959, 15.4924036580154, 19.2585038333617, 18.8760832788802, 18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 
18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.930613438935)), list(c(-90.507860196157, -90.375862, -90.4679123914525, -90.507860196157, 20.1316397055607, 20.507445, 20.5400955694623, 20.1316397055607)))"
Micronycteris microtis,Mexico,MIMIC,Common Big-eared Bat,503315261078.669,"list(c(-97.8639624906118, -99.0276125655711, -103.912726182382, -104.395035461317, -95.6033437017639, -93.645836, -92.0515924757756, -91.2385822710846, -91.4539212715151, -91.0973099310231, -91.0020958281119, -91.001519945016, -90.6859537197137, -88.1506785114172, -89.1615682993078, -89.6013211738515, -90.2786183336849, -90.4514759997012, -90.5335898506131, -90.7718698799109, -91.4079034085593, -92.0373481920904, -92.7861138577835, -93.5486512926824, -94.4257295397562, -94.8390634834427, -95.90088497596, 
-96.2921272448418, -96.5255755277203, -97.1893334622933, -97.3889595202368, -97.6990439522042, -97.8723667061111, -97.8639624906118, 22.4869619000331, 22.6015862457084, 19.5996441146314, 19.1157152560639, 16.3999407505858, 16.028334, 15.9283062249749, 17.0593673020488, 17.2521772323242, 17.2542195222591, 17.3852581285425, 17.8175949162457, 17.8186758998066, 21.1972330289916, 21.3590781692509, 21.2617257756345, 20.9998554549956, 20.7075218775204, 19.8674181177513, 19.2841203882568, 18.8760832788802, 
18.7045692001034, 18.5248385685923, 18.4238369816779, 18.1443708358434, 18.5627173934622, 18.8280241968487, 19.3203714055095, 19.8909308944441, 20.6354332544731, 21.4110189885258, 21.8986894800643, 22.4442117375534, 22.4869619000331))"
