submitdate
enSev.sub1_max.
enSev.sub1_conf.
enSev.sub2_min.
enSev.sub2_mean.
enSev.sub2_max.
enSev.sub2_conf.
enSev.sub3_min.
enSev.sub3_mean.
enSev.sub3_max.
enSev.sub3_conf.
trN.sub1.
trN.sub2.
trN.sub3.
trN.sub4.
trScope.sub1_min.
trScope.sub1_mean.
trScope.sub1_max.
trScope.sub1_conf.
trScope.sub2_min.
trScope.sub2_mean.
trScope.sub2_max.
trScope.sub2_conf.
trScope.sub3_min.
trScope.sub3_mean.
trScope.sub3_max.
trScope.sub3_conf.
trScope.sub4_min.
trScope.sub4_mean.
trScope.sub4_max.
trScope.sub4_conf.
trSev.sub1_min.
trSev.sub1_mean.
trSev.sub1_max.
trSev.sub1_conf.
trSev.sub2_min.
trSev.sub2_mean.
trSev.sub2_max.
trSev.sub2_conf.
trSev.sub3_min.
trSev.sub3_mean.
trSev.sub3_max.
trSev.sub3_conf.
trSev.sub4_min.
trSev.sub4_mean.
trSev.sub4_max.
trSev.sub4_conf.
biN.sub1.
biN.sub2.
biN.sub3.
biN.sub4.
biScope.sub1_min.
biScope.sub1_mean.
biScope.sub1_max.
biScope.sub1_conf.
biScope.sub2_min.
biScope.sub2_mean.
biScope.sub2_max.
biScope.sub2_conf.
biScope.sub3_min.
biScope.sub3_mean.
biScope.sub3_max.
biScope.sub3_conf.
biScope.sub4_min.
biScope.sub4_mean.
biScope.sub4_max.
biScope.sub4_conf.
biSev.sub1_min.
biSev.sub1_mean.
biSev.sub1_max.
biSev.sub1_conf.
biSev.sub2_min.
biSev.sub2_mean.
biSev.sub2_max.
biSev.sub2_conf.
biSev.sub3_min.
biSev.sub3_mean.
biSev.sub3_max.
biSev.sub3_conf.
biSev.sub4_min.
biSev.sub4_mean.
biSev.sub4_max.
biSev.sub4_conf.
huN.sub1.
huN.sub2.
huN.sub3.
huScope.sub1_min.
huScope.sub1_mean.
huScope.sub1_max.
huScope.sub1_conf.
huScope.sub2_min.
huScope.sub2_mean.
huScope.sub2_max.
huScope.sub2_conf.
huScope.sub3_min.
huScope.sub3_mean.
huScope.sub3_max.
huScope.sub3_conf.
huSev.sub1_min.
huSev.sub1_mean.
huSev.sub1_max.
huSev.sub1_conf.
huSev.sub2_min.
huSev.sub2_mean.
huSev.sub2_max.
huSev.sub2_conf.
huSev.sub3_min.
huSev.sub3_mean.
huSev.sub3_max.
huSev.sub3_conf.
naN.sub1.
naN.sub2.
naN.sub3.
naScope.sub1_min.
naScope.sub1_mean.
naScope.sub1_max.
naScope.sub1_conf.
naScope.sub2_min.
naScope.sub2_mean.
naScope.sub2_max.
naScope.sub2_conf.
naScope.sub3_min.
naScope.sub3_mean.
naScope.sub3_max.
naScope.sub3_conf.
naSev.sub1_min.
naSev.sub1_mean.
naSev.sub1_max.
naSev.sub1_conf.
naSev.sub2_min.
naSev.sub2_mean.
naSev.sub2_max.
naSev.sub2_conf.
naSev.sub3_min.
naSev.sub3_mean.
naSev.sub3_max.
naSev.sub3_conf.
inN.sub1.
inN.sub2.
inN.sub3.
inN.sub4.
inN.sub5.
inN.sub6.
inScope.sub1_min.
inScope.sub1_mean.
inScope.sub1_max.
inScope.sub1_conf.
inScope.sub2_min.
inScope.sub2_mean.
inScope.sub2_max.
inScope.sub2_conf.
inScope.sub3_min.
inScope.sub3_mean.
inScope.sub3_max.
inScope.sub3_conf.
inScope.sub4_min.
inScope.sub4_mean.
inScope.sub4_max.
inScope.sub4_conf.
inScope.sub5_min.
inScope.sub5_mean.
inScope.sub5_max.
inScope.sub5_conf.
inScope.sub6_min.
inScope.sub6_mean.
inScope.sub6_max.
inScope.sub6_conf.
inSev.sub1_min.
inSev.sub1_mean.
inSev.sub1_max.
inSev.sub1_conf.
inSev.sub2_min.
inSev.sub2_mean.
inSev.sub2_max.
inSev.sub2_conf.
inSev.sub3_min.
inSev.sub3_mean.
inSev.sub3_max.
inSev.sub3_conf.
inSev.sub4_min.
inSev.sub4_mean.
inSev.sub4_max.
inSev.sub4_conf.
inSev.sub5_min.
inSev.sub5_mean.
inSev.sub5_max.
inSev.sub5_conf.
inSev.sub6_min.
inSev.sub6_mean.
inSev.sub6_max.
inSev.sub6_conf.
poN.sub1.
poN.sub2.
poN.sub3.
poN.sub4.
poN.sub6.
poN.sub5.
poScope.sub1_min.
poScope.sub1_mean.
poScope.sub1_max.
poScope.sub1_conf.
poScope.sub2_min.
poScope.sub2_mean.
poScope.sub2_max.
poScope.sub2_conf.
poScope.sub3_min.
poScope.sub3_mean.
poScope.sub3_max.
poScope.sub3_conf.
poScope.sub4_min.
poScope.sub4_mean.
poScope.sub4_max.
poScope.sub4_conf.
poScope.sub5_min.
poScope.sub5_mean.
poScope.sub5_max.
poScope.sub5_conf.
poScope.sub6_min.
poScope.sub6_mean.
poScope.sub6_max.
poScope.sub6_conf.
poSev.sub1_min.
poSev.sub1_mean.
poSev.sub1_max.
poSev.sub1_conf.
poSev.sub2_min.
poSev.sub2_mean.
poSev.sub2_max.
poSev.sub2_conf.
poSev.sub3_min.
poSev.sub3_mean.
poSev.sub3_max.
poSev.sub3_conf.
poSev.sub4_min.
poSev.sub4_mean.
poSev.sub4_max.
poSev.sub4_conf.
poSev.sub6_min.
poSev.sub6_mean.
poSev.sub6_max.
poSev.sub6_conf.
poSev.sub5_min.
poSev.sub5_mean.
poSev.sub5_max.
poSev.sub5_conf.
geoN.sub1.
geoN.sub2.
geoN.sub3.
geoScope.sub1_min.
geoScope.sub1_mean.
geoScope.sub1_max.
geoScope.sub1_conf.
geoScope.sub2_min.
geoScope.sub2_mean.
geoScope.sub2_max.
geoScope.sub2_conf.
geoScope.sub3_min.
geoScope.sub3_mean.
geoScope.sub3_max.
geoScope.sub3_conf.
geoSev.sub1_min.
geoSev.sub1_mean.
geoSev.sub1_max.
geoSev.sub1_conf.
geoSev.sub2_min.
geoSev.sub2_mean.
geoSev.sub2_max.
geoSev.sub2_conf.
geoSev.sub3_min.
geoSev.sub3_mean.
geoSev.sub3_max.
geoSev.sub3_conf.
cliN.sub1.
cliN.sub2.
cliN.sub3.
cliN.sub4.
cliN.sub5.
cliScope.sub1_min.
cliScope.sub1_mean.
cliScope.sub1_max.
cliScope.sub1_conf.
cliScope.sub2_min.
cliScope.sub2_mean.
cliScope.sub2_max.
cliScope.sub2_conf.
cliScope.sub3_min.
cliScope.sub3_mean.
cliScope.sub3_max.
cliScope.sub3_conf.
cliScope.sub4_min.
cliScope.sub4_mean.
cliScope.sub4_max.
cliScope.sub4_conf.
cliScope.sub5_min.
cliScope.sub5_mean.
cliScope.sub5_max.
cliScope.sub5_conf.
cliSev.sub1_min.
cliSev.sub1_mean.
cliSev.sub1_max.
cliSev.sub1_conf.
cliSev.sub2_min.
cliSev.sub2_mean.
cliSev.sub2_max.
cliSev.sub2_conf.
cliSev.sub3_min.
cliSev.sub3_mean.
cliSev.sub3_max.
cliSev.sub3_conf.
cliSev.sub4_min.
cliSev.sub4_mean.
cliSev.sub4_max.
cliSev.sub4_conf.
cliSev.sub5_min.
cliSev.sub5_mean.
cliSev.sub5_max.
cliSev.sub5_conf.
