Species,Question,Outliers ,Id,,,,,,,,,,,,,,,,,,,,,,
Myotis velifer,PS,x,Oug0a3aapOqUZMY,,,,,,,,,,,,,,,,,,,,,,
Myotis velifer,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Myotis velifer,PS,x,auarZ53DQoE8Z8j,,,,,,,,,,,,,,,,,,,,,,
Myotis volans,PS,x,pZSZ2S7XtDpnG1c,,,,,,,,,,,,,,,,,,,,,,
Myotis volans,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Myotis volans,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Noctilio albiventris,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Noctilio albiventris,PS,x,lP9lkuUgw1KscQC,,,,,,,,,,,,,,,,,,,,,,
Noctilio albiventris,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Noctilio albiventris,PS,x,EA6eaCxrJPUmow5,,,,,,,,,,,,,,,,,,,,,,
Noctilio leporinus,PS,x,jYTXYVcy9BwJNOb,,,,,,,,,,,,,,,,,,,,,,
Noctilio leporinus,PS,x,hFO3NLjmrhnU8ae,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops aurispinosus,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops aurispinosus,PS,x,Wlx2mlaEC2phUPz,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops aurispinosus,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops femorosaccus,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Nyctinomops femorosaccus,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Nycticeius humeralis,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Perimyotis subflavus,PS,x,LGf03kcKcQgso3t,,,,,,,,,,,,,,,,,,,,,,
Phylloderma stenops,PS,x,XTaUBzmTCU0Eb9H,,,,,,,,,,,,,,,,,,,,,,
Phylloderma stenops,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Platyrrhinus helleri,PS,x,xSCXILAei4NZMw2,,,,,,,,,,,,,,,,,,,,,,
Platyrrhinus helleri,PS,x,CMDizkyMX6dQuxi,,,,,,,,,,,,,,,,,,,,,,
Platyrrhinus helleri,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
Promops centralis,PS,x,4AWV3vZPdJc9vE0,,,,,,,,,,,,,,,,,,,,,,
Promops centralis,PS,x,UPyaHz2d9UU3e56,,,,,,,,,,,,,,,,,,,,,,
